Date,Year,Month,Day,Open Price,Low Price,High Price,AVG Price,Close Price,Volume
2023-05-17,2023,May,17,193.31,190.84,193.585,192.2125,192.06,4878900.0
2023-05-18,2023,May,18,191.32,190.41,191.71,191.06,191.56,3709407.0
2023-05-19,2023,May,19,192.46,191.1,192.86,191.98000000000002,191.84,3883181.0
2023-05-22,2023,May,22,191.19,186.41,191.39,188.89999999999998,186.64,5786972.0
2023-05-23,2023,May,23,186.49,184.59,186.63,185.61,186.07,6382250.0
2023-05-24,2023,May,24,186.27,184.37,186.74,185.555,184.89,3721022.0
2023-05-25,2023,May,25,182.7,181.95,184.22,183.08499999999998,183.8,4712884.0
2023-05-26,2023,May,26,183.71,182.395,184.25,183.3225,183.58,4449346.0
2023-05-30,2023,May,30,182.055,180.7,183.09,181.89499999999998,181.61,4331831.0
2023-05-31,2023,May,31,182.86,181.46,184.62,183.04000000000002,182.35,19931685.0
2023-06-01,2023,June,1,182.42,180.8,182.69,181.745,182.19,5277433.0
2023-06-02,2023,June,2,182.02,181.7,184.29,182.995,184.06,4288433.0
2023-06-05,2023,June,5,183.85,183.61,186.17,184.89,184.19,4311675.0
2023-06-06,2023,June,6,184.98,180.43,185.12,182.775,181.56,3975572.0
2023-06-07,2023,June,7,180.71,179.7,181.74,180.72,180.11,5162657.0
2023-06-08,2023,June,8,179.7,179.33,182.3,180.815,182.1,4036711.0
2023-06-09,2023,June,9,181.71,181.0,182.83,181.91500000000002,182.35,3200319.0
2023-06-12,2023,June,12,182.49,180.69,182.73,181.70999999999998,181.9,4207398.0
2023-06-13,2023,June,13,182.13,181.08,182.19,181.635,181.54,2838752.0
2023-06-14,2023,June,14,182.0,181.435,183.65,182.54250000000002,183.17,3559268.0
2023-06-15,2023,June,15,184.26,183.52,186.17,184.845,185.71,4326317.0
2023-06-16,2023,June,16,186.14,185.7,187.585,186.64249999999998,186.04,8925706.0
2023-06-20,2023,June,20,186.54,185.24,187.87,186.555,185.31,4155059.0
2023-06-21,2023,June,21,185.72,184.188,186.88,185.534,185.43,3832395.0
2023-06-22,2023,June,22,186.73,185.87,187.58,186.72500000000002,187.35,3186126.0
2023-06-23,2023,June,23,188.0,185.95,188.0,186.975,186.07,7592675.0
2023-06-26,2023,June,26,186.16,184.1203,186.43,185.27515,184.89,3706278.0
2023-06-27,2023,June,27,184.67,183.96,186.61,185.28500000000003,186.22,5763039.0
2023-06-28,2023,June,28,186.25,183.38,186.74,185.06,183.7,5194077.0
2023-06-29,2023,June,29,183.25,181.39,183.89,182.64,183.88,5770445.0
2023-06-30,2023,June,30,184.04,183.88,185.52,184.7,185.22,7635186.0
2023-07-03,2023,July,3,184.3,183.47,185.64,184.555,185.6,2388969.0
2023-07-05,2023,July,5,185.0,184.97,186.69,185.82999999999998,186.58,5277266.0
2023-07-06,2023,July,6,185.81,184.8925,186.75,185.82125000000002,186.6,5592489.0
2023-07-07,2023,July,7,185.82,183.03,185.88,184.45499999999998,183.08,6310132.0
2023-07-10,2023,July,10,184.07,183.775,185.91,184.8425,184.3,5508816.0
2023-07-11,2023,July,11,184.38,182.415,184.726,183.57049999999998,183.98,3915229.0
2023-07-12,2023,July,12,183.98,182.975,184.61,183.79250000000002,183.17,6080078.0
2023-07-13,2023,July,13,185.8,183.26,188.06,185.66,187.53,8223095.0
2023-07-14,2023,July,14,187.86,187.085,188.625,187.85500000000002,188.21,4467604.0
2023-07-17,2023,July,17,186.34,185.42,187.005,186.21249999999998,185.63,5637931.0
2023-07-18,2023,July,18,185.44,183.82,186.82,185.32,184.45,5684103.0
2023-07-19,2023,July,19,185.0,184.424,186.6,185.512,186.26,4140799.0
2023-07-20,2023,July,20,187.5,186.81,189.99,188.4,189.3,5056531.0
2023-07-21,2023,July,21,190.105,189.3,191.47,190.385,190.16,15022092.0
2023-07-24,2023,July,24,190.59,190.14,191.43,190.785,190.92,4226701.0
2023-07-25,2023,July,25,190.41,190.06,192.01,191.035,191.36,3521616.0
2023-07-26,2023,July,26,191.12,190.06,192.38,191.22,191.6,3898895.0
2023-07-27,2023,July,27,192.0,188.4,192.2925,190.34625,188.53,4141834.0
2023-07-28,2023,July,28,190.14,189.79,191.37,190.57999999999998,190.31,5602369.0
2023-07-31,2023,July,31,189.45,186.85,189.59,188.22,187.46,5688218.0
2023-08-01,2023,August,1,187.49,186.4,188.6,187.5,186.82,2854164.0
2023-08-02,2023,August,2,186.59,186.4,189.97,188.185,188.31,4286293.0
2023-08-03,2023,August,3,188.17,186.97,189.22,188.095,187.12,2857659.0
2023-08-04,2023,August,4,187.12,184.35,188.01,186.18,184.6,4651062.0
2023-08-07,2023,August,7,185.28,185.1,187.21,186.155,186.89,3323542.0
2023-08-08,2023,August,8,187.2,184.03,187.48,185.755,184.44,5018032.0
2023-08-09,2023,August,9,183.88,182.625,185.0,183.8125,183.98,4413095.0
2023-08-10,2023,August,10,184.22,183.53,185.59,184.56,183.75,3727433.0
2023-08-11,2023,August,11,184.0,183.28,184.28,183.78,184.04,2873848.0
2023-08-14,2023,August,14,184.39,183.13,184.86,183.995,183.62,3385717.0
2023-08-15,2023,August,15,183.15,181.13,183.46,182.29500000000002,181.35,3331931.0
2023-08-16,2023,August,16,181.6,180.95,182.95,181.95,181.21,2633918.0
2023-08-17,2023,August,17,181.21,178.32,181.41,179.865,178.45,4503030.0
2023-08-18,2023,August,18,178.46,177.27,179.55,178.41000000000003,178.18,6020451.0
2023-08-21,2023,August,21,177.73,176.23,177.96,177.095,177.05,4284317.0
2023-08-22,2023,August,22,176.18,175.31,176.82,176.065,175.7,3491524.0
2023-08-23,2023,August,23,177.25,176.37,178.28,177.325,178.12,4042732.0
2023-08-24,2023,August,24,178.01,177.1,180.4399,178.76995,177.18,5710041.0
2023-08-25,2023,August,25,178.06,177.84,179.71,178.775,179.42,4710679.0
2023-08-28,2023,August,28,180.82,179.344,181.18,180.262,180.25,3189757.0
2023-08-29,2023,August,29,180.3,179.015,181.22,180.1175,180.93,4368626.0
2023-08-30,2023,August,30,181.46,180.72,182.26,181.49,181.08,3153432.0
2023-08-31,2023,August,31,179.34,177.86,179.63,178.745,177.92,5566735.0
2023-09-01,2023,September,1,178.73,174.6362,178.81,176.7231,175.32,4801361.0
2023-09-05,2023,September,5,175.265,173.645,175.88,174.7625,174.16,5081845.0
2023-09-06,2023,September,6,174.92,173.48,174.99,174.235,174.73,5933800.0
2023-09-07,2023,September,7,175.85,175.21,177.055,176.1325,176.4,4934402.0
2023-09-08,2023,September,8,175.81,175.61,177.15,176.38,176.27,2995127.0
2023-09-11,2023,September,11,176.83,176.83,179.43,178.13,178.93,4512875.0
2023-09-12,2023,September,12,178.74,177.795,178.92,178.3575,178.27,3331234.0
2023-09-13,2023,September,13,178.33,178.21,180.14,179.175,179.68,3781554.0
2023-09-14,2023,September,14,179.94,179.33,181.69,180.51,181.23,4118298.0
2023-09-15,2023,September,15,181.41,179.61,181.82,180.715,179.84,11661176.0
2023-09-18,2023,September,18,181.0,178.43,181.0,179.715,179.38,3182752.0
2023-09-19,2023,September,19,178.86,177.3,179.13,178.215,178.32,3369556.0
2023-09-20,2023,September,20,179.09,177.56,179.419,178.48950000000002,178.38,3696292.0
2023-09-21,2023,September,21,178.1,175.13,178.33,176.73000000000002,175.38,5351155.0
2023-09-22,2023,September,22,174.94,174.37,176.39,175.38,175.27,4542456.0
