Date,Year,Month,Day,Open Price,Low Price,High Price,AVG Price,Close Price,Volume
2022-11-14,2022,November,14,95.85,94.21,96.62,95.41499999999999,94.3,11710477
2022-11-15,2022,November,15,94.31,93.7,97.18,95.44,95.53,11243478
2022-11-16,2022,November,16,95.53,93.72,95.53,94.625,93.98,7841576
2022-11-17,2022,November,17,93.99,90.85,93.99,92.41999999999999,91.54,9964767
2022-11-18,2022,November,18,91.5,90.91,93.16,92.035,91.9,8248857
2022-11-19,2022,November,19,91.88,91.8,91.89,91.845,91.8,768142
2022-11-21,2022,November,21,100.12,96.32,100.89,98.60499999999999,97.57,52754183
2022-11-22,2022,November,22,97.57,94.68,97.67,96.17500000000001,96.22,22164584
2022-11-23,2022,November,23,96.23,95.78,99.34,97.56,98.94,12944853
2022-11-25,2022,November,25,98.81,98.08,99.81,98.945,98.87,5240385
2022-11-28,2022,November,28,98.21,95.43,99.12,97.275,95.69,10208931
2022-11-29,2022,November,29,95.69,93.92,96.43,95.17500000000001,94.67,10627021
2022-11-30,2022,November,30,94.67,93.87,97.94,95.905,97.87,11059570
2022-12-01,2022,December,1,97.86,96.58,98.84,97.71000000000001,98.67,10100792
2022-12-02,2022,December,2,98.66,97.01,99.69,98.35,99.41,7866860
2022-12-03,2022,December,3,99.41,99.4,99.43,99.415,99.43,941168
2022-12-05,2022,December,5,98.24,95.67,99.16,97.41499999999999,95.92,6205158
2022-12-06,2022,December,6,95.92,91.98,96.0,93.99000000000001,92.31,9106987
2022-12-07,2022,December,7,92.29,91.26,92.79,92.025,92.17,6963383
2022-12-08,2022,December,8,92.17,91.67,93.43,92.55000000000001,92.59,7322657
2022-12-09,2022,December,9,92.58,91.9,94.91,93.405,93.41,7147315
2022-12-10,2022,December,10,93.41,93.38,93.42,93.4,93.38,1057452
2022-12-12,2022,December,12,93.73,92.61,94.62,93.61500000000001,94.62,7267736
2022-12-13,2022,December,13,94.62,93.57,97.39,95.47999999999999,94.72,11487403
2022-12-14,2022,December,14,94.72,92.62,95.47,94.045,94.15,9225545
2022-12-15,2022,December,15,94.14,90.12,94.22,92.17,90.54,11808682
2022-12-16,2022,December,16,90.54,88.81,91.08,89.945,90.12,14225097
2022-12-17,2022,December,17,90.11,90.03,90.22,90.125,90.08,17792250
2022-12-19,2022,December,19,89.44,85.41,89.46,87.435,85.76,14041861
2022-12-20,2022,December,20,85.76,85.76,87.84,86.80000000000001,87.03,12110322
2022-12-21,2022,December,21,87.01,86.48,88.1,87.28999999999999,86.91,8700617
2022-12-22,2022,December,22,86.92,84.69,86.93,85.81,86.68,11818480
2022-12-23,2022,December,23,86.68,85.77,88.07,86.91999999999999,88.03,8629475
2022-12-24,2022,December,24,88.03,88.01,88.03,88.02000000000001,88.01,552681
2022-12-27,2022,December,27,87.42,85.96,87.94,86.94999999999999,86.35,7784901
